"filename", "language", "MCMETA", "MC-Build", "JSON", "mcfunction", "JavaScript", "comment", "blank", "total"
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/internal/gu/convert_uuid_array_to_string.mcfunction", "mcfunction", 0, 0, 0, 32, 0, 1, 0, 33
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/internal/gu/load.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/internal/gu/zzz/0.mcfunction", "mcfunction", 0, 0, 0, 16, 0, 1, 0, 17
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/internal/gu/zzz/1.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/on_load.mcfunction", "mcfunction", 0, 0, 0, 7, 0, 1, 0, 8
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/on_tick.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/global/remove/everything.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/apply_frame.mcfunction", "mcfunction", 0, 0, 0, 3, 0, 1, 0, 4
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/next_frame.mcfunction", "mcfunction", 0, 0, 0, 5, 0, 1, 0, 6
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/pause.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
